"Season","Name","Team","G","PA","HR","R","RBI","SB","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","Age","H","OPS","Bat","Fld","Pos","WPA","-WPA","playerid"
"1977","Jerry Tabb","Athletics","51","157","6","8","19","0",".146",".228",".222",".269",".368",".278","72","-0.3","-5.6","-3.4","-0.4","25","32",".637","-5.3","-1.0","-2.4","-1.23","-3.57","1012803"
"1980","Ricky Seilheimer","White Sox","21","57","1","4","3","1",".154",".278",".212",".268",".365",".278","68","0.2","-2.0","-5.0","-0.5","19","11",".633","-2.2","-6.0","1.0","-0.28","-1.01","1011729"
"1964","Jimmie Schaffer","Cubs","54","140","2","9","9","2",".115",".223",".205",".307",".320",".277","71","-1.1","-5.7","0.1","-0.1","28","25",".627","-4.6","-2.0","2.1","","","1011511"
"1972","Tom Haller","Tigers","59","139","2","7","13","0",".124",".217",".207",".292",".331",".277","76","-0.3","-3.6","2.0","0.2","35","25",".623","-3.3","0.0","2.0","","","1005244"
"1979","Jerry Morales","Tigers","129","482","14","50","56","10",".152",".209",".211",".260",".364",".277","62","0.5","-21.6","-18.4","-2.4","30","93",".624","-22.1","-13.0","-5.4","-1.01","-10.13","1009138"
"1985","Steve Buechele","Rangers","69","236","6","22","21","3",".137",".239",".219",".271",".356",".277","67","-0.3","-9.5","2.4","0.0","23","48",".627","-9.3","2.0","0.4","-0.87","-4.59","1001630"
"1976","Johnny Oates","Phillies","37","107","0","10","8","0",".020",".287",".253",".308",".273",".277","68","-0.4","-4.3","2.6","0.2","30","25",".581","-3.9","1.0","1.6","-0.77","-2.17","1009674"
"1984","Steve Yeager","Dodgers","74","221","4","16","29","1",".081",".259",".228",".295",".310",".277","75","-0.6","-6.7","2.2","0.3","35","45",".605","-6.1","-1.0","3.2","-0.74","-4.18","1014332"
"1971","Jimmy Wynn","Astros","123","466","7","38","45","10",".092",".223",".203",".302",".295",".277","74","0.3","-13.1","-0.7","0.1","29","82",".596","-13.4","3.0","-3.7","","","1014313"
"1964","Bart Shirley","Dodgers","18","66","0","6","7","0",".048",".315",".274",".318",".323",".277","82","0.0","-1.3","-1.3","0.0","24","17",".641","-1.3","-2.0","0.7","","","1011910"
"1975","George Mitterwald","Cubs","84","222","5","19","26","0",".125",".252",".220",".285",".345",".277","60","0.0","-10.2","7.2","0.4","30","44",".630","-10.2","5.0","2.2","-1.29","-4.28","1009012"
"1982","Chris Bando","Indians","66","212","3","13","16","0",".092",".234",".212",".299",".304",".277","66","0.0","-8.6","5.1","0.3","26","39",".603","-8.6","2.0","3.1","-0.87","-3.87","1000504"
"1984","Bill Sample","Rangers","130","528","5","67","33","18",".080",".261",".247",".286",".327",".277","70","1.2","-17.6","-5.3","-0.7","29","121",".613","-18.8","-2.0","-3.3","-2.38","-10.42","1011396"
"1964","Smoky Burgess","- - -","75","194","3","10","18","2",".080",".252",".244",".307",".324",".277","76","0.1","-5.1","0.5","0.2","37","43",".631","-5.2","-2.0","2.5","","","1001665"
"1957","Ted Beard","White Sox","38","97","0","15","7","3",".013",".250",".205",".354",".218",".277","69","-0.1","-3.6","0.0","-0.1","36","16",".572","-3.5","1.0","-1.0","","","1000721"
"1976","Tito Fuentes","Padres","135","559","2","48","36","5",".046",".279",".263",".287",".310",".277","76","-0.3","-15.5","0.1","0.3","32","137",".597","-15.2","-3.0","3.1","-0.97","-10.45","1004385"
"1984","Derrel Thomas","- - -","122","302","0","29","22","0",".066",".277",".243",".299",".309",".277","74","-1.6","-10.7","1.0","0.0","33","66",".607","-9.1","-1.0","2.0","-2.65","-6.36","1012971"
"1967","Dick Kelley","Braves","39","19","0","2","1","0",".063",".800",".250",".294",".313",".277","76","0.0","-0.5","1.4","0.2","27","4",".607","-0.5","0.0","1.4","","","1006769"
"1982","Manny Castillo","Mariners","138","541","3","49","49","2",".079",".266",".257",".286",".336",".277","65","-2.7","-25.3","-7.1","-1.6","25","130",".622","-22.6","-8.0","0.9","-2.77","-11.24","1002065"
"1985","Alfredo Griffin","Athletics","162","646","2","75","64","24",".062",".288",".270",".290",".332",".277","74","1.0","-18.9","4.5","0.7","27","166",".622","-19.9","-4.0","8.5","-2.76","-12.85","1005036"
"1969","Jim Kaat","Twins","43","95","2","8","10","0",".161",".242",".207",".247",".368",".277","67","0.0","-3.6","7.2","0.7","30","18",".615","-3.6","0.0","7.2","","","1006660"
