"Season","Name","Team","G","PA","HR","RBI","SB","AVG","OBP","SLG","wOBA","wRC+","BsR","WAR","Age","H","HR","BB","IBB","HBP","SF","SH","OPS","Bat","Fld","-WPA","+WPA","Clutch","AB","playerid"
"1960","Marv Breeding","Orioles","152","594","3","43","10",".267",".313",".336",".294","81","0.6","2.5","26","147","3","35","2","3","3","2",".648","-14.0","17.0","","","","551","1001380"
"1984","R.J. Reynolds","Dodgers","73","262","2","24","7",".258",".300",".350",".294","87","-0.6","0.1","25","62","2","14","0","1","2","4",".650","-3.9","-1.0","-4.69","4.65","0.53","240","1010872"
"1970","Dave Giusti","Pirates","66","20","0","3","0",".188",".316",".313",".294","77","0.0","0.2","30","3","0","3","0","0","0","1",".628","-0.6","0.0","","","","16","1004748"
"1974","Bob Coluccio","Brewers","138","450","6","31","15",".223",".305",".322",".294","84","-0.3","1.7","22","88","6","43","2","3","0","10",".627","-8.0","13.0","-8.67","7.19","-0.56","394","1002476"
"1971","Dave Campbell","Padres","108","414","7","29","9",".227",".299",".334",".294","87","-0.3","0.4","29","83","7","37","0","0","0","12",".633","-6.1","-6.0","","","","365","1001876"
"1976","Will McEnaney","Reds","55","9","0","0","0",".167",".375",".167",".294","80","0.0","0.1","24","1","0","2","0","0","0","1",".542","-0.2","0.0","-0.03","0.03","0.08","6","1008482"
"1974","John Doherty","Angels","74","236","3","15","2",".256",".280",".368",".294","89","0.1","0.1","22","57","3","8","1","0","1","4",".648","-2.7","0.0","-4.23","3.30","-0.38","223","1003357"
"1967","Russ Snyder","Orioles","108","318","4","23","5",".236",".314",".324",".294","93","0.5","0.9","33","65","4","32","0","1","4","6",".638","-2.5","4.0","","","","275","1012256"
"1968","Don Lock","Phillies","99","279","8","34","3",".210",".283",".351",".294","95","-0.7","0.5","31","52","8","26","0","0","2","3",".633","-1.5","-1.0","","","","248","1007686"
"1962","Willie Tasby","- - -","86","261","4","17","0",".236",".315",".318",".294","76","-0.8","-1.1","29","55","4","27","0","0","0","1",".633","-7.7","-9.0","","","","233","1012832"
"1975","Pete Mackanin","Expos","130","495","12","44","11",".225",".276",".375",".294","74","0.3","0.3","23","101","12","31","4","2","4","10",".651","-14.9","-1.0","-9.91","8.86","-0.56","448","1007912"
"1969","Jerry May","Pirates","62","205","7","23","1",".232",".268",".384",".294","82","-0.1","0.9","25","44","7","9","0","2","4","0",".653","-4.2","3.0","","","","190","1008302"
"1968","Rich Rollins","Twins","93","218","6","30","3",".241",".287",".355",".294","92","0.3","0.4","30","49","6","10","2","3","0","2",".642","-1.8","-2.0","","","","203","1011162"
"1963","Ken Harrelson","Athletics","79","253","6","23","1",".230",".299",".363",".294","80","-0.1","-1.0","21","52","6","23","3","0","2","2",".662","-6.0","-7.0","","","","226","1005389"
"1965","Tommie Reynolds","Athletics","90","308","1","22","9",".237",".327",".311",".294","84","1.1","0.2","23","64","1","36","1","0","0","2",".638","-5.4","2.0","","","","270","1010875"
"1983","Bobby Ramos","Expos","27","70","0","5","0",".230",".329",".311",".294","83","0.0","0.2","27","14","0","8","1","1","0","0",".640","-1.3","0.0","-1.16","0.95","-0.18","61","1010675"
"1958","Vern Law","Pirates","36","80","2","12","0",".194",".288",".371",".294","76","0.0","0.6","28","12","2","9","0","0","2","7",".659","-2.4","0.0","","","","62","1007410"
"1982","Ron Washington","Twins","119","470","5","39","3",".271",".291",".368",".294","74","-0.6","-0.3","30","122","5","14","0","0","3","2",".659","-14.4","-8.0","-9.39","6.51","-1.11","451","1013658"
"1978","John Tamargo","- - -","42","119","1","8","1",".224",".342",".316",".294","85","-0.2","-0.3","26","22","1","18","5","0","1","2",".658","-2.2","-6.0","-2.21","2.10","-0.08","98","1012816"
"1978","Jim Essian","Athletics","126","340","3","26","2",".223",".326",".295",".294","85","0.1","2.1","27","62","3","44","1","0","3","15",".621","-5.9","10.0","-6.16","5.56","0.01","278","1003835"
"1966","Jerry May","Pirates","42","56","1","2","0",".250",".291",".385",".294","84","-0.4","0.2","22","13","1","2","1","1","0","1",".676","-1.0","0.0","","","","52","1008302"
"1975","Luis Melendez","Cardinals","110","316","2","27","3",".265",".301",".347",".294","78","-0.1","0.2","25","77","2","16","3","0","2","7",".648","-7.9","2.0","-5.33","6.26","1.54","291","1008746"
"1975","Rick Burleson","Red Sox","158","654","6","62","8",".252",".305",".329",".294","71","-0.2","1.8","24","146","6","45","1","3","9","17",".634","-21.0","8.0","-11.75","9.69","0.17","580","1001696"
"1984","Doug Frobel","Pirates","126","306","12","28","7",".203",".271",".388",".294","81","-0.6","0.2","25","56","12","24","2","2","1","3",".658","-6.6","3.0","-6.02","5.55","-0.13","276","1004371"
"1976","Mario Guerrero","Angels","83","288","1","18","0",".284",".304",".340",".294","90","-0.1","0.1","26","76","1","7","2","3","5","5",".643","-3.2","-7.0","-5.40","5.48","0.58","268","1005118"
"1968","Jim Maloney","Reds","38","80","2","4","0",".243",".263",".378",".294","88","0.0","0.8","28","18","2","2","0","0","0","4",".642","-0.9","0.0","","","","74","1008039"
"1958","Willie Tasby","Orioles","18","58","1","1","1",".200",".310",".320",".294","84","-0.2","0.0","25","10","1","7","0","1","0","0",".630","-1.1","0.0","","","","50","1012832"
"1982","Jim Smith","Pirates","42","52","0","4","0",".238",".313",".333",".293","82","-0.4","0.0","27","10","0","5","0","0","1","4",".646","-1.1","-1.0","-0.75","0.43","-0.06","42","1012163"
"1981","Lenn Sakata","Orioles","61","164","5","15","4",".227",".282",".353",".293","86","0.8","0.6","27","34","5","11","0","1","1","1",".636","-2.5","0.0","-2.74","2.71","-0.23","150","1011375"
"1968","Jim Lefebvre","Dodgers","84","317","5","31","0",".241",".304",".343",".293","102","0.0","1.0","26","69","5","26","4","1","3","1",".646","0.5","-5.0","","","","286","1007473"
"1968","Bernie Allen","Senators","120","405","6","40","2",".241",".301",".343",".293","97","0.4","0.5","29","90","6","28","5","4","0","0",".644","-1.2","-9.0","","","","373","1000132"
"1962","Lee Walls","Dodgers","60","121","0","17","1",".266",".325",".312",".293","82","0.2","0.1","29","29","0","10","0","0","1","1",".637","-2.7","0.0","","","","109","1013563"
"1980","Pete Mackanin","Twins","108","342","4","35","6",".266",".296",".361",".293","75","0.4","0.8","28","85","4","14","2","0","2","7",".656","-10.3","4.0","-6.79","6.00","-0.44","319","1007912"
"1985","Billy Hatcher","Cubs","53","178","2","10","2",".245",".290",".368",".293","77","-1.2","-0.5","24","40","2","8","0","3","2","2",".658","-4.7","-4.0","-3.89","2.32","-0.74","163","1005486"
"1973","Jesus Alou","- - -","64","169","2","19","0",".282",".304",".350",".293","85","0.1","0.1","31","46","2","3","2","2","0","1",".653","-3.0","0.0","","","","163","1000178"
"1974","Roric Harrison","Braves","20","46","3","5","0",".184",".225",".421",".293","73","-0.4","0.3","27","7","3","2","0","0","0","6",".646","-1.4","0.0","-0.69","0.58","-0.16","38","1005430"
"1966","Del Crandall","Indians","50","122","4","8","0",".231",".320",".361",".293","89","0.1","0.5","36","25","4","14","5","0","0","0",".681","-1.4","0.0","","","","108","1002729"
"1982","Derrel Thomas","Dodgers","66","109","0","2","2",".265",".333",".306",".293","85","-0.8","0.1","31","26","0","10","1","0","0","1",".639","-1.8","-1.0","-1.83","1.01","-0.63","98","1012971"
"1965","Charley Smith","Mets","135","531","16","62","2",".244",".273",".393",".293","86","0.0","2.0","27","122","16","17","3","4","4","7",".666","-8.7","8.0","","","","499","1012112"
"1968","Leon McFadden","Astros","16","54","0","1","1",".277",".358",".298",".293","96","0.2","0.2","24","13","0","6","2","0","0","1",".656","-0.2","-1.0","","","","47","1008486"
"1964","Billy Cowan","Cubs","139","520","19","50","12",".241",".268",".404",".293","81","1.4","0.5","25","120","19","18","5","1","2","2",".673","-11.0","-4.0","","","","497","1002688"
"1964","Gordy Coleman","Reds","89","214","5","27","2",".242",".291",".369",".293","81","0.5","0.3","29","48","5","13","1","1","1","1",".660","-4.5","2.0","","","","198","1002422"
"1959","Jim Pendleton","Redlegs","65","123","3","9","3",".257",".309",".354",".293","72","0.6","0.0","35","29","3","8","2","1","1","0",".663","-4.4","0.0","","","","113","1010156"
"1979","Vic Correll","Reds","48","150","1","15","0",".233",".309",".346",".293","78","0.0","0.0","33","31","1","14","2","1","1","1",".655","-3.9","-4.0","-2.51","2.09","-0.13","133","1002639"
"1977","George Mitterwald","Cubs","110","382","9","43","3",".238",".295",".378",".293","67","0.4","1.1","32","83","9","28","7","1","2","2",".673","-15.5","8.0","-7.66","6.68","0.22","349","1009012"
"1986","Terry Puhl","Astros","81","193","3","14","3",".244",".302",".355",".293","85","-0.2","0.2","29","42","3","15","1","0","2","4",".656","-3.3","1.0","-3.84","2.88","-0.22","172","1010562"
"1982","Bob Boone","Angels","143","539","7","58","0",".256",".310",".337",".293","79","-0.8","3.2","34","121","7","39","2","0","5","23",".647","-13.4","20.0","-9.03","9.29","1.68","472","1001183"
"1972","Toby Harrah","Rangers","116","419","1","31","16",".259",".316",".321",".293","91","0.8","0.7","23","97","1","34","1","0","6","5",".637","-3.6","-10.0","","","","374","1005384"
"1975","Tony Muser","- - -","123","212","0","17","2",".275",".324",".306",".293","81","0.1","-0.2","27","53","0","15","1","0","2","2",".630","-4.6","-1.0","-4.84","3.01","-0.68","193","1009403"
"1973","Keith Marshall","Royals","8","10","0","3","0",".222",".300",".333",".293","78","0.0","0.0","21","2","0","1","0","0","0","0",".633","-0.3","0.0","","","","9","1008142"
"1983","Luis Salazar","Padres","134","510","14","45","24",".258",".285",".387",".293","84","1.2","1.2","27","124","14","17","8","2","2","8",".672","-9.6","2.0","-10.16","9.11","-0.43","481","1011378"
"1957","Felix Mantilla","Braves","71","200","4","21","2",".236",".296",".363",".293","83","0.5","0.0","22","43","4","14","2","2","1","1",".659","-4.2","-5.0","","","","182","1008081"
"1978","Ted Martinez","Dodgers","54","61","1","5","3",".255",".317",".327",".293","83","-0.2","0.0","30","14","1","4","1","1","0","1",".644","-1.2","-2.0","-1.03","0.92","-0.13","55","1008199"
"1982","Ron Oester","Reds","151","595","9","47","5",".260",".303",".359",".293","80","-1.4","0.0","26","143","9","35","8","0","3","8",".662","-13.5","-10.0","-10.60","9.72","-0.16","549","1009739"
"1958","Frank House","Athletics","76","218","4","24","1",".252",".295",".371",".293","76","0.3","0.3","28","51","4","12","2","1","2","1",".666","-6.0","-1.0","","","","202","1006059"
"1985","Brad Komminsk","Braves","106","343","4","21","10",".227",".314",".327",".293","77","-1.3","0.4","24","68","4","38","1","1","2","2",".640","-9.0","7.0","-6.08","5.18","-0.25","300","1007092"
"1978","Mario Guerrero","Athletics","143","546","3","38","0",".275",".302",".345",".293","84","-1.9","0.3","28","139","3","15","2","6","3","17",".647","-9.6","-12.0","-9.49","9.46","1.67","505","1005118"
"1973","Luis Aparicio","Red Sox","132","561","0","49","13",".271",".324",".309",".293","75","2.5","2.4","39","135","0","43","1","0","7","12",".633","-16.1","11.0","","","","499","1000278"
"1964","Leo Burke","Cubs","59","111","1","14","0",".262",".315",".340",".293","81","0.0","0.1","30","27","1","7","1","1","0","0",".655","-2.4","0.0","","","","103","1001688"
"1981","Alan Bannister","Indians","68","250","1","17","16",".263",".309",".332",".293","82","2.5","-0.1","29","61","1","16","2","0","1","1",".641","-4.9","-6.0","-4.30","4.31","0.48","232","1000515"
"1973","Greg Gross","Astros","14","43","0","1","2",".231",".302",".333",".293","81","0.0","0.1","20","9","0","4","0","0","0","0",".636","-0.9","1.0","","","","39","1005086"
"1960","Faye Throneberry","Senators","85","180","1","23","1",".248",".326",".325",".293","74","-0.1","-0.4","29","39","1","18","3","1","2","2",".651","-5.7","-2.0","","","","157","1013046"
"1982","Doug Frobel","Pirates","16","35","2","3","1",".206",".229",".441",".293","81","-0.2","0.0","23","7","2","1","0","0","0","0",".670","-0.7","0.0","-0.76","0.63","-0.02","34","1004371"
"1967","Danny Cater","Athletics","142","573","4","46","4",".270",".317",".340",".293","89","-0.7","0.4","27","143","4","34","9","4","4","2",".657","-6.5","-1.0","","","","529","1002079"
"1979","Roy Staiger","Yankees","4","13","0","1","0",".273",".308",".364",".293","78","0.0","0.0","29","3","0","1","0","0","1","0",".671","-0.3","0.0","-0.25","0.15","-0.05","11","1012385"
"1985","Dan Driessen","- - -","145","552","9","47","2",".243",".314",".351",".293","85","-0.6","-0.3","33","120","9","50","12","3","5","1",".665","-9.1","-3.0","-8.60","9.66","1.25","493","1003501"
"1982","Broderick Perkins","Padres","125","382","2","34","2",".271",".325",".340",".293","87","0.0","0.7","27","94","2","26","10","3","2","3",".665","-5.6","5.0","-6.30","6.54","0.38","347","1010190"
"1983","Glenn Hoffman","Red Sox","143","518","4","41","1",".260",".306",".340",".293","74","-0.3","0.1","24","123","4","30","1","2","2","11",".646","-16.1","-8.0","-9.40","7.37","-0.28","473","1005905"
"1967","Don Buford","White Sox","156","609","4","32","34",".241",".322",".316",".293","94","-0.3","2.6","30","129","4","65","3","1","4","4",".638","-3.8","8.0","","","","535","1001636"
"1974","Felix Millan","Mets","136","585","1","33","5",".268",".317",".311",".293","82","0.7","-0.3","30","139","1","31","2","8","4","24",".628","-11.7","-14.0","-10.31","8.31","-0.78","518","1008867"
"1975","Bucky Dent","White Sox","157","662","3","58","2",".264",".301",".341",".293","78","-1.0","1.2","23","159","3","36","3","0","9","15",".642","-16.6","-2.0","-11.57","11.40","1.54","602","1003212"
"1982","Roy Howell","Brewers","98","326","4","38","0",".260",".305",".350",".293","84","-0.8","-0.7","28","78","4","21","2","0","4","1",".655","-6.2","-1.0","-4.91","4.88","0.53","300","1006104"
"1978","Chico Ruiz","Braves","18","48","0","2","0",".283",".313",".348",".293","71","0.0","0.0","26","13","0","2","1","0","0","0",".660","-1.5","0.0","-0.81","0.60","-0.26","46","1011299"
"1971","Darrell Porter","Brewers","22","80","2","9","2",".214",".300",".329",".293","82","-0.3","0.5","19","15","2","9","0","0","1","0",".629","-1.6","3.0","","","","70","1010450"
"1958","Jim Piersall","Red Sox","130","469","8","48","12",".237",".303",".350",".293","73","1.9","1.5","28","99","8","42","2","0","6","4",".653","-14.5","14.0","","","","417","1010340"
"1959","Bud Daley","Athletics","39","87","0","13","0",".295",".329",".308",".293","76","0.0","0.7","26","23","0","2","0","2","0","5",".637","-2.5","0.0","","","","78","1002942"
"1979","Bill Russell","Dodgers","153","670","7","56","6",".271",".297",".359",".293","80","-2.3","0.2","30","170","7","24","2","1","4","14",".656","-15.7","-12.0","-12.70","10.81","0.22","627","1011311"
"1975","Joe Ferguson","Dodgers","66","241","5","23","2",".208",".325",".302",".293","81","0.1","0.8","28","42","5","35","5","1","2","1",".627","-5.3","5.0","-4.38","3.53","-0.80","202","1003990"
"1976","Frank Taveras","Pirates","144","573","0","24","58",".258",".321",".297",".293","80","7.3","2.7","26","134","0","44","1","4","0","6",".618","-12.6","4.0","-9.95","8.62","-1.78","519","1012852"
"1974","Bruce Miller","Giants","73","215","0","16","1",".278",".316",".323",".293","75","-0.1","0.5","27","55","0","11","2","1","2","3",".639","-6.1","3.0","-4.36","3.52","0.22","198","1008878"
"1977","Luis Gomez","Twins","32","74","0","11","0",".246",".290",".369",".293","76","-0.8","0.1","25","16","0","4","0","0","0","5",".659","-2.1","1.0","-1.20","0.68","-0.20","65","1004823"
"1976","Jim Wohlford","Royals","107","334","1","24","22",".249",".314",".307",".293","84","-1.6","1.1","25","73","1","29","0","1","5","6",".621","-5.8","12.0","-6.49","5.84","0.29","293","1014179"
"1977","Von Joshua","Brewers","144","566","9","49","12",".261",".286",".384",".293","77","-0.9","-2.1","29","140","9","21","4","0","5","4",".671","-15.1","-22.0","-9.94","8.58","0.04","536","1006629"
"1963","Don Blasingame","- - -","87","316","2","12","3",".246",".320",".323",".293","83","-0.4","0.5","31","70","2","31","1","0","0","0",".642","-6.0","1.0","","","","285","1001056"
"1958","Luis Aparicio","White Sox","145","604","2","40","29",".266",".309",".345",".293","80","3.8","3.6","24","148","2","35","2","1","3","8",".653","-13.8","18.0","","","","557","1000278"
"1965","Tommy McCraw","White Sox","133","306","5","21","12",".238",".309",".344",".293","91","-0.2","0.8","24","65","5","25","4","3","0","5",".653","-3.0","5.0","","","","273","1008428"
"1979","Roger Metzger","Giants","94","288","0","31","11",".251",".311",".340",".293","81","1.1","0.6","31","65","0","23","2","0","1","5",".651","-6.6","-3.0","-4.96","5.58","0.73","259","1008812"
"1977","Willie Norwood","Twins","39","91","3","9","6",".229",".281",".373",".293","76","0.9","0.0","26","19","3","6","0","0","0","2",".654","-2.6","0.0","-1.94","1.52","-0.19","83","1009648"
"1958","Elmer Valo","Dodgers","65","115","1","14","0",".248",".322",".317",".293","69","-0.3","-0.7","37","25","1","12","0","0","2","0",".639","-4.4","-5.0","","","","101","1013335"
"1969","Johnny Roseboro","Twins","115","406","3","32","5",".263",".333",".321",".293","77","-0.7","0.4","36","95","3","39","12","0","3","3",".654","-10.7","-3.0","","","","361","1011199"
"1979","Rick Cerone","Blue Jays","136","514","7","61","1",".239",".294",".358",".293","72","-1.3","0.5","25","112","7","37","1","1","4","3",".652","-17.7","-1.0","-9.98","9.79","1.27","469","1002105"
"1983","Jim Essian","Indians","48","112","2","11","0",".204",".315",".312",".293","78","-0.4","0.2","32","19","2","16","0","0","2","1",".627","-2.9","0.0","-1.86","1.23","-0.25","93","1003835"
"1964","Pete Rose","Reds","136","558","4","34","4",".269",".319",".326",".293","81","-2.8","0.7","23","139","4","36","0","2","1","3",".645","-11.9","-1.0","","","","516","1011217"
"1975","Gorman Thomas","Brewers","121","280","10","28","4",".179",".268",".371",".293","80","0.1","-0.2","24","43","10","31","0","0","5","4",".639","-6.3","-3.0","-4.88","4.54","0.01","240","1012979"
"1977","Larry Bowa","Phillies","154","675","4","41","32",".280",".313",".340",".293","74","5.7","3.1","31","175","4","32","2","0","6","13",".652","-21.0","15.0","-11.65","9.78","-0.45","624","1001243"
"1976","Derrel Thomas","Giants","81","313","2","19","10",".232",".313",".301",".293","78","-2.2","-0.7","25","63","2","29","0","4","2","6",".614","-7.5","-9.0","-5.89","5.52","-0.51","272","1012971"
"1976","Chet Lemon","White Sox","132","498","4","38","13",".246",".298",".328",".293","83","-0.1","-0.1","21","111","4","28","0","7","4","8",".626","-8.9","-6.0","-10.48","7.20","-1.82","451","1007518"
"1974","Chris Arnold","Giants","78","192","1","26","1",".241",".302",".333",".293","75","-0.1","-0.3","26","42","1","15","1","1","2","0",".635","-5.5","-4.0","-3.44","3.26","0.51","174","1000318"
"1976","Charlie Moore","Brewers","87","290","3","16","1",".191",".314",".290",".293","84","-0.6","0.3","23","46","3","43","0","1","2","3",".604","-5.0","-2.0","-4.79","4.37","-0.15","241","1009099"
"1979","Jeff Newman","Athletics","143","552","22","71","2",".231",".267",".399",".293","80","0.1","0.6","30","119","22","27","2","1","6","2",".666","-13.7","0.0","-11.76","10.30","-0.54","516","1009543"
"1979","Jim Anderson","Angels","96","264","3","23","3",".248",".298",".350",".293","78","-0.1","0.5","22","58","3","17","0","1","3","9",".648","-7.2","-1.0","-4.42","3.62","-0.48","234","1000231"
"1980","Joe Strain","Giants","77","207","0","16","1",".286",".320",".317",".293","86","-0.6","0.1","26","54","0","10","0","0","1","7",".637","-3.3","-3.0","-4.51","2.72","-1.36","189","1012592"
"1982","Dave Collins","Yankees","111","393","3","25","13",".253",".315",".330",".293","81","-0.5","-0.8","29","88","3","28","3","5","3","9",".646","-9.0","-6.0","-7.33","5.83","-0.63","348","1002449"
"1971","Bill Sudakis","Dodgers","41","96","3","7","0",".193",".302",".337",".293","86","-0.3","0.3","25","16","3","12","2","1","0","0",".639","-1.4","1.0","","","","83","1012668"
"1983","Wayne Tolleson","Rangers","134","521","3","20","33",".260",".319",".315",".293","79","2.6","0.8","27","122","3","40","0","2","2","7",".634","-12.7","-4.0","-10.24","8.00","-0.94","470","1013103"
"1984","Omar Moreno","Yankees","117","382","4","38","20",".259",".294",".361",".293","82","-0.3","-0.3","31","92","4","18","1","1","4","4",".654","-8.2","-7.0","-7.17","5.46","-0.68","355","1009167"
"1980","Ken Henderson","Cubs","44","99","2","9","0",".195",".333",".305",".293","73","0.0","-0.1","34","16","2","17","3","0","0","0",".638","-2.9","0.0","-1.96","1.75","-0.10","82","1005634"
"1977","Bucky Dent","Yankees","158","540","8","49","1",".247",".300",".352",".293","80","0.2","2.7","25","118","8","39","0","1","9","14",".653","-12.5","12.0","-8.35","6.52","-1.38","477","1003212"
"1957","Jim Landis","White Sox","96","324","2","16","14",".212",".329",".296",".293","79","1.5","1.0","23","58","2","45","2","3","0","2",".625","-7.9","9.0","","","","274","1007296"
"1969","Oscar Gamble","Cubs","24","81","1","5","0",".225",".321",".310",".293","72","-0.7","-0.7","19","16","1","10","1","0","0","0",".631","-2.6","-6.0","","","","71","1004473"
"1967","Rich Rollins","Twins","109","374","6","39","1",".245",".305",".342",".293","87","0.0","-0.2","29","83","6","27","4","3","1","4",".648","-5.0","-10.0","","","","339","1011162"
"1965","Joe Christopher","Mets","148","486","5","40","4",".249",".311",".339",".293","85","-0.7","-0.4","29","109","5","35","3","6","4","4",".650","-8.2","-4.0","","","","437","1002213"
"1960","Dick McAuliffe","Tigers","8","29","0","1","0",".259",".310",".333",".293","72","0.0","-0.1","20","7","0","2","0","0","0","0",".644","-1.0","-1.0","","","","27","1008331"
"1957","Jim Bolger","Cubs","112","291","5","29","0",".275",".303",".352",".293","75","-0.2","-0.1","25","75","5","10","1","3","4","1",".655","-8.7","1.0","","","","273","1001144"
"1972","Dave Rader","Giants","133","494","6","41","1",".259",".306",".333",".293","81","-0.4","1.5","23","119","6","29","4","3","2","1",".640","-10.4","0.0","","","","459","1010636"
"1971","Joe Keough","Royals","110","392","3","30","0",".248",".316",".325",".293","81","-2.1","-0.5","25","87","3","35","5","1","2","3",".641","-8.1","-2.0","","","","351","1006856"
"1974","Ken Rudolph","Giants","57","181","0","10","0",".259",".350",".278",".293","75","0.0","0.4","27","41","0","21","5","1","0","1",".628","-5.2","0.0","-3.48","2.88","-0.08","158","1011288"
"1966","Jerry Zimmerman","Twins","60","136","1","15","0",".252",".338",".328",".293","85","0.1","0.5","31","30","1","15","4","1","1","0",".666","-2.2","1.0","","","","119","1014445"
"1959","Bob Schmidt","Giants","71","196","5","20","0",".243",".296",".376",".293","77","-0.7","0.2","26","44","5","13","4","1","1","0",".672","-5.8","-2.0","","","","181","1011576"
"1968","Gary Sutherland","Phillies","67","149","0","15","0",".275",".313",".326",".293","94","0.0","0.5","23","38","0","8","0","0","1","2",".639","-0.9","-1.0","","","","138","1012739"
"1958","Hobie Landrith","Cardinals","70","171","3","13","0",".215",".335",".306",".293","70","-0.3","0.0","28","31","3","26","4","0","0","1",".641","-6.3","-1.0","","","","144","1007300"
"1963","Bob Perry","Angels","61","181","3","14","1",".253",".300",".361",".293","88","-0.1","0.2","28","42","3","9","2","3","2","1",".661","-2.5","1.0","","","","166","1010208"
"1964","Ken McBride","Angels","29","37","0","2","0",".214",".371",".214",".293","87","0.0","0.4","28","6","0","6","0","1","0","2",".586","-0.6","0.0","","","","28","1008344"
"1974","Winston Llenas","Angels","72","157","2","17","0",".261",".301",".348",".292","88","0.0","0.0","30","36","2","11","1","0","7","1",".649","-2.0","-1.0","-3.21","2.34","-0.55","138","1007679"
"1975","John Hale","Dodgers","71","238","6","22","1",".211",".303",".333",".292","81","-0.5","0.8","21","43","6","26","4","2","2","4",".637","-5.3","8.0","-4.25","3.95","0.06","204","1005223"
"1982","Bob Dernier","Phillies","122","412","4","21","42",".249",".315",".319",".292","80","3.7","1.7","25","92","4","36","0","1","2","3",".634","-9.1","10.0","-7.49","6.92","0.00","370","1003220"
"1985","Dave Concepcion","Reds","155","620","7","48","16",".252",".314",".330",".292","79","-1.8","0.9","37","141","7","50","3","3","4","3",".645","-15.0","-3.0","-11.59","10.86","0.88","560","1002494"
"1981","Sal Butera","Twins","62","194","0","18","0",".240",".325",".293",".292","80","0.0","1.0","28","40","0","22","0","0","2","3",".618","-4.1","5.0","-3.86","2.37","-0.95","167","1001765"
"1979","U L Washington","Royals","101","300","2","25","10",".254",".299",".358",".292","74","-0.8","0.5","25","68","2","20","1","0","6","6",".658","-9.4","2.0","-5.96","4.39","-0.15","268","1013659"
"1972","John Kennedy","Red Sox","71","237","2","22","0",".245",".311",".335",".292","84","-0.3","-0.5","31","52","2","18","4","3","2","2",".646","-3.9","-10.0","","","","212","1006844"
"1974","Buck Martinez","Royals","43","123","1","8","0",".215",".317",".290",".292","79","-0.4","-0.1","25","23","1","14","0","2","0","0",".607","-2.8","-4.0","-1.61","1.65","0.66","107","1008156"
"1964","Larry Brown","Indians","115","367","12","40","1",".230",".283",".379",".292","83","-0.5","1.5","24","77","12","24","3","2","3","3",".662","-7.5","10.0","","","","335","1001536"
"1966","Zoilo Versalles","Twins","137","596","7","36","10",".249",".307",".346",".292","85","-2.2","1.7","26","135","7","40","2","7","3","3",".653","-9.8","4.0","","","","543","1013417"
"1964","Dick Williams","Red Sox","61","77","5","11","0",".159",".247",".406",".292","76","0.0","0.2","35","11","5","7","0","1","0","0",".653","-2.1","2.0","","","","69","1013991"
"1967","Tom Satriano","Angels","90","230","4","21","1",".224",".319",".318",".292","94","0.3","1.1","26","45","4","28","3","0","0","1",".637","-1.4","3.0","","","","201","1011454"
"1965","Russ Snyder","Orioles","132","381","1","29","3",".270",".323",".322",".292","87","-0.9","1.3","31","93","1","27","1","1","2","6",".644","-5.4","11.0","","","","345","1012256"
"1974","Dick McAuliffe","Red Sox","100","316","5","24","2",".210",".310",".320",".292","75","0.5","0.1","34","57","5","39","5","1","1","3",".630","-8.5","-3.0","-6.61","4.68","-1.02","272","1008331"
"1981","Lamar Johnson","White Sox","41","142","1","15","0",".276",".298",".351",".292","84","-0.7","-0.3","30","37","1","5","1","0","2","1",".649","-2.5","-2.0","-2.99","2.75","0.05","134","1006481"
"1968","Elston Howard","Red Sox","71","229","5","18","1",".241",".317",".335",".292","86","-0.1","0.2","39","49","5","22","7","1","1","2",".652","-3.1","-6.0","","","","203","1006079"
"1983","Bob Skube","Brewers","12","29","0","9","0",".200",".310",".320",".292","82","0.0","0.1","25","5","0","4","0","0","0","0",".630","-0.6","1.0","-0.91","1.20","0.27","25","1012045"
"1973","Johnny Edwards","Astros","79","276","5","27","1",".244",".301",".360",".292","81","0.3","0.3","35","61","5","19","7","2","1","4",".661","-6.1","-4.0","","","","250","1003689"
"1967","Clarence Jones","Cubs","53","155","2","16","0",".252",".314",".348",".292","83","0.1","-0.1","25","34","2","14","3","0","4","2",".662","-2.9","-1.0","","","","135","1006541"
"1980","Enos Cabell","Astros","152","637","2","55","21",".276",".305",".351",".292","87","-1.0","-0.4","30","167","2","26","6","1","5","1",".656","-9.5","-15.0","-13.15","11.89","0.30","604","1001804"
"1964","Ron Campbell","Cubs","26","95","1","10","0",".272",".277",".391",".292","81","-0.4","-0.1","24","25","1","1","0","0","1","1",".668","-2.1","-2.0","","","","92","1001890"
"1969","Julio Gotay","Astros","46","88","0","9","2",".259",".318",".321",".292","83","0.1","0.5","30","21","0","7","1","0","0","0",".639","-1.7","3.0","","","","81","1004897"
"1977","Pat Rockett","Braves","93","297","1","24","1",".254",".330",".303",".292","67","-0.4","-2.2","22","67","1","27","2","3","0","3",".633","-11.9","-24.0","-5.33","4.53","0.78","264","1011092"
"1986","Mark Salas","Twins","91","285","8","33","3",".233",".282",".384",".292","74","0.2","0.2","25","60","8","18","2","1","3","5",".666","-9.1","-1.0","-5.69","5.10","0.19","258","1011376"
"1965","Bob Gibson","Cardinals","42","119","5","19","2",".240",".261",".404",".292","77","0.4","1.2","29","25","5","3","0","1","3","8",".665","-3.1","0.0","","","","104","1004662"
