"Season","Name","Team","G","PA","HR","RBI","SB","AVG","OBP","SLG","wOBA","wRC+","BsR","WAR","Age","H","HR","BB","IBB","HBP","SF","SH","OPS","Bat","Fld","-WPA","+WPA","Clutch","AB","playerid"
"1979","Juan Bernhardt","Mariners","1","1","0","0","0","1.000","1.000","1.000",".907","472","0.0","0.1","25","1","0","0","0","0","0","0","2.000","0.5","","0.00","0.09","0.00","1","1000892"
"1979","Doug Capilla","Reds","5","1","0","0","0","1.000","1.000","1.000",".907","489","0.0","0.1","27","1","0","0","0","0","0","0","2.000","0.5","0.0","0.00","0.01","0.00","1","1001926"
"1979","Tom Dixon","Astros","19","1","0","0","0","1.000","1.000","1.000",".907","497","0.0","0.1","24","1","0","0","0","0","0","0","2.000","0.5","0.0","0.00","0.01","0.00","1","1003335"
"1979","Roy Lee Jackson","Mets","8","1","0","0","0","1.000","1.000","1.000",".907","492","0.0","0.1","25","1","0","0","0","0","0","0","2.000","0.5","0.0","0.00","0.02","0.00","1","1006311"
"1979","Rick Rhoden","Pirates","1","1","0","0","0","1.000","1.000","1.000",".907","488","0.0","0.1","26","1","0","0","0","0","0","0","2.000","0.5","0.0","0.00","0.03","0.00","1","1010887"
"1983","Sid Fernandez","Dodgers","2","1","0","0","0","1.000","1.000","1.000",".906","497","0.0","0.1","20","1","0","0","0","0","0","0","2.000","0.5","0.0","0.00","0.02","0.00","1","1004001"
"1962","Jim Archer","Athletics","18","1","0","2","0","1.000","1.000","1.000",".905","459","0.0","0.1","30","1","0","0","0","0","0","0","2.000","0.4","0.0","","","","1","1000291"
"1962","Rupe Toppin","Athletics","2","1","0","0","0","1.000","1.000","1.000",".905","459","0.0","0.1","20","1","0","0","0","0","0","0","2.000","0.4","0.0","","","","1","1013122"
"1960","Ted Abernathy","Senators","2","1","0","0","0","1.000","1.000","1.000",".905","461","0.0","0.1","27","1","0","0","0","0","0","0","2.000","0.4","0.0","","","","1","1000020"
"1960","Al Schroll","Cubs","2","1","0","0","0","1.000","1.000","1.000",".905","479","0.0","0.1","28","1","0","0","0","0","0","0","2.000","0.4","0.0","","","","1","1011617"
"1982","Randy Niemann","Pirates","20","2","0","0","0","1.000","1.000","1.000",".905","504","0.0","0.1","26","2","0","0","0","0","0","0","2.000","0.9","0.0","0.00","0.04","0.00","2","1009589"
"1982","Steve Shirley","Dodgers","11","1","0","0","0","1.000","1.000","1.000",".905","507","0.0","0.1","25","1","0","0","0","0","0","0","2.000","0.5","0.0","0.00","0.02","0.00","1","1011913"
"1961","Joe Grzenda","Tigers","4","1","0","0","0","1.000","1.000","1.000",".904","457","0.0","0.1","24","1","0","0","0","0","0","0","2.000","0.5","0.0","","","","1","1005112"
"1961","Steve Hamilton","Indians","2","1","0","0","0","1.000","1.000","1.000",".904","463","0.0","0.1","25","1","0","0","0","0","0","0","2.000","0.5","0.0","","","","1","1005277"
"1961","Dick Hyde","Orioles","15","1","0","0","1","1.000","1.000","1.000",".904","466","0.2","0.1","32","1","0","0","0","0","0","0","2.000","0.5","0.0","","","","1","1006248"
"1961","Jim Umbricht","Pirates","1","1","0","0","0","1.000","1.000","1.000",".904","461","0.0","0.1","30","1","0","0","0","0","0","0","2.000","0.5","0.0","","","","1","1013277"
"1977","Mike Marshall","Braves","4","1","0","1","0","1.000","1.000","1.000",".902","467","0.0","0.1","34","1","0","0","0","0","0","0","2.000","0.4","0.0","0.00","0.04","0.00","1","1008144"
"1959","Barney Schultz","Tigers","13","2","0","0","0","1.000","1.000","1.000",".902","475","0.0","0.1","32","2","0","0","0","0","0","0","2.000","0.9","0.0","","","","2","1011625"
"1957","Russ Meyer","Red Sox","2","1","0","1","0","1.000","1.000","1.000",".902","472","0.0","0.1","33","1","0","0","0","0","0","0","2.000","0.4","0.0","","","","1","1008833"
"1986","Tim Lollar","Red Sox","33","1","0","0","0","1.000","1.000","1.000",".902","471","0.0","0.1","30","1","0","0","0","0","0","0","2.000","0.4","0.0","0.00","0.06","0.00","1","1007715"
"1985","Rick Grapenthin","Expos","5","1","0","0","0","1.000","1.000","1.000",".901","503","0.0","0.1","27","1","0","0","0","0","0","0","2.000","0.5","0.0","0.00","0.00","0.00","1","1004954"
"1985","Gus Polidor","Angels","2","1","0","0","0","1.000","1.000","1.000",".901","477","0.0","0.2","23","1","0","0","0","0","0","0","2.000","0.5","1.0","0.00","0.06","0.00","1","1010420"
"1985","Luis Pujols","Rangers","1","1","0","0","0","1.000","1.000","1.000",".901","474","0.0","0.1","29","1","0","0","0","0","0","0","2.000","0.4","0.0","0.00","0.01","0.00","1","1010564"
"1958","Al Schroll","Red Sox","5","1","0","0","0","1.000","1.000","1.000",".901","484","0.0","0.1","26","1","0","0","0","0","0","0","2.000","0.4","0.0","","","","1","1011617"
"1965","Dave Eilers","Mets","11","1","0","0","0","1.000","1.000","1.000",".897","481","0.0","0.1","28","1","0","0","0","0","0","0","2.000","0.4","0.0","","","","1","1003715"
